64 1149 388
128 4349 929
192 9597 1552
256 16893 2143
320 26237 2776
384 37629 3523
448 51069 4332
512 66557 4877
576 84093 5517
640 103677 6636
704 125309 7094
768 148989 8191
832 174717 8469
896 202493 9528
960 232317 10039
1024 264189 11281
