64 785 341
128 2019 823
192 3977 1355
256 6609 2015
320 9891 2499
384 13897 3096
448 18577 3985
512 23907 4463
576 29961 5047
640 36689 5751
704 44067 6335
768 52169 7086
832 60945 7872
896 70371 8602
960 80521 9128
1024 91345 9872
