65536 1201759
271974 5318353
478412 9221798
684850 13500355
891288 17206850
1097726 21498886
1304164 25418065
1510602 29646536
1717040 33331001
1923478 36927725
2129916 42085996
2336354 45608124
2542792 49823140
2749230 53541776
2955668 58652575
3162106 61092504
3368544 64715289
3574982 69846947
3781420 73606852
3987858 77214776
4194296 82418125
