64 691 373
128 1853 875
192 3230 1426
256 4978 2048
320 6579 2639
384 8173 3347
448 9796 3879
512 12274 4708
576 14055 5230
640 15868 6016
704 17693 6463
768 19499 7309
832 21318 7982
896 23149 9019
960 25028 9710
1024 28676 10032
